Location,Latitude,Longitude,Microplastic_Size_mm,Shape,Density,Polymer_Type,pH,Salinity,MP_Count_per_L,Industrial_Activity,Population_Density,Risk_Type,Risk_Level,Risk_Score,Author
"Bolosan, Pangasinan",16.047,120.333,0.1–2.0,Fiber,1.38,Polyethylene,7.8,30 PSU,35,Moderate,Medium,Ecological,High,78,De Castro et al.
"Mapandan, Pangasinan",16.021,120.457,0.1–1.8,Fragment,1.4,Polypropylene,7.8,30 PSU,25,Low,Medium,Ecological,Medium,65,De Castro et al.
"Manila Bay, Philippines",14.58,120.97,0.3–5.0,"Fragments, Films",0.9–1.4 g/cm³,"PE, PP, PS",7.8,32 PSU,2.3,High (factories near rivers),Very High (Dense urban),Ecological,High,8.9,Borongan & NaRanong
Pasig River Estuary,14.58,121,0.2–4.0,"Fibers, Fragments",0.91–1.3 g/cm³,"PET, PP",7.5,30 PSU,4.8,High (Industrial discharge),High,Ecological,Very High,9.3,Borongan & NaRanong
North Manila (Barangays near Tondo),14.62,120.97,0.5–2.0,"Pellets, Fragments",0.95–1.2,"PE, PP",7.6,28 PSU,3.9,Medium (Commercial waste),Very High,Socio-Economic,High,8.5,Borongan & NaRanong
South Manila (Ermita–Malate),14.56,120.99,0.3–1.8,"Films, Fibers",0.9–1.1,"PP, Nylon",7.9,31 PSU,2.7,High (Tourism-related),High,Ecological,Moderate,7.1,Borongan & NaRanong
Manila Bay Shoreline (Beaches),14.58,120.95,0.4–3.0,"Fragments, Beads",1.0–1.4,"PS, PET",8.1,33 PSU,1.8,Medium (Coastal activities),High,Ecological,Moderate,6.4,Borongan & NaRanong
Estero de Paco (Urban Canal),14.59,121.01,0.2–1.5,"Films, Fibers",0.9–1.2,"LDPE, PET",7.3,25 PSU,5.4,High (Residential waste),Very High,Health,Very High,9.6,Borongan & NaRanong
Laguna de Bay Outlet,14.43,121.08,0.5–3.5,Fragments,0.95–1.3,"PE, PP",7.7,29 PSU,3.1,"Industrial, agricultural runoff",Medium,Ecological,High,8.1,Borongan & NaRanong
Intramuros District,14.59,120.98,0.3–2.2,Fibers,0.92–1.4,PET,7.6,27 PSU,2.5,Low (Institutional waste),Medium,Governance,Moderate,6.9,Borongan & NaRanong
Manila Port Area,14.6,120.96,0.4–2.8,"Films, Beads",0.94–1.3,"PE, PP",7.8,32 PSU,4.1,High (Shipping waste),High,Ecological,Very High,9,Borongan & NaRanong
Baseco Compound,14.58,120.95,0.5–3.0,Fragments,0.9–1.4,"PE, PS",7.4,31 PSU,4.5,High (Residential + Industrial mix),Very High,Health,Very High,9.4,Borongan & NaRanong
"Bacoor Bay, Cavite",14.4595,120.9702,1.72,Fragment,"~0.9 g/cm³ (inferred, polyethylene-type)","Unspecified (likely PE, PP)",7.8 (marine average),30 PSU,0.93 items/g (?930 items/L est.),"Coastal fishing, aquaculture",High (urban coastal),Ecological,Moderate,0.65,Insigne et al. (2022)
"Bacoor Bay, Cavite",14.4595,120.9702,1.26,Fragment,~0.9 g/cm³,"Unspecified (likely PE, PP)",7.8,30 PSU,0.42 items/g (?420 items/L),"Coastal fishing, aquaculture",High,Ecological,Moderate,0.55,Insigne et al. (2022)
"Bacoor Bay, Cavite",14.4595,120.9702,1.21,Fragment,~0.9 g/cm³,"Unspecified (likely PE, PP)",7.8,30 PSU,1.71 items/g (?1710 items/L),"Coastal fishing, aquaculture",High,Ecological,High,0.85,Insigne et al. (2022)
"Bacoor Bay, Cavite",14.46,120.969,1.4,Fragment,~0.9 g/cm³,PE/PP mix (inferred),7.8,30 PSU,1.02 items/g (?1020 items/L),"Aquaculture, domestic discharge",High,Ecological,High,0.8,Insigne et al. (2022)
Bacoor Bay (north),14.462,120.972,1.5,Fragment,~0.9 g/cm³,PE,7.8,30 PSU,1.10 items/g,"Fishing, residential",High,Ecological,High,0.82,Insigne et al. (2022)
Bacoor Bay (east),14.458,120.974,1.35,Fragment,~0.9 g/cm³,PP,7.8,30 PSU,0.95 items/g,Aquaculture,Medium,Ecological,Moderate,0.65,Insigne et al. (2022)
Bacoor Bay (central),14.459,120.971,1.4,Fragment,~0.9 g/cm³,Mixed polymer (inferred),7.8,30 PSU,1.00 items/g,Coastal fishing,High,Ecological,High,0.78,Insigne et al. (2022)
Bacoor Bay (south),14.457,120.969,1.6,Fragment,~0.9 g/cm³,PE,7.8,30 PSU,1.20 items/g,Aquaculture,Medium,Ecological,Moderate,0.7,Insigne et al. (2022)
Bacoor Bay (west),14.4605,120.9675,1.3,Fragment,~0.9 g/cm³,PE/PP,7.8,30 PSU,0.85 items/g,Fishing,Medium,Ecological,Moderate,0.6,Insigne et al. (2022)
Bacoor Bay (Cavite City side),14.461,120.968,1.25,Fragment,~0.9 g/cm³,PP,7.8,30 PSU,1.50 items/g,"Urban runoff, aquaculture",High,Ecological,High,0.83,Insigne et al. (2022)
"Dipolog City, Zamboanga del Norte",8.58,123.34,0.06–3.33,"Fiber, Fragment",0.90–1.41,"Rayon, Polyamide Nylon",8.1,33 PSU,0.25,"Fishing, Urban",Medium,Ecological,Moderate,6.5,Seno et al.
"Pagadian City, Zamboanga del Sur",7.83,123.44,0.06–3.33,"Fiber, Fragment",0.91–1.39,"Polyester, Polyamide Nylon",8,34 PSU,0.35,"Fishing, Coastal",Medium,Ecological,Moderate,7,Seno et al.
"Buenavista, Agusan del Norte",8.97,125.41,0.13–3.17,"Fiber, Fragment",0.92–1.43,"Polypropylene, Polyethylene",8.2,31 PSU,0.22,"Fishing, River Discharge",Medium,Ecological,Moderate,6.3,Seno et al.
Zamboanga Peninsula (Aggregate),8.1,123.4,0.06–3.33,Fiber,0.9,Polyamide Nylon,8,33 PSU,0.3,"Fishing, Urban Runoff",High,Ecological,High,8,Seno et al.
Butuan Bay (Agusan del Norte),8.96,125.44,0.13–3.17,Fragment,1.43,Polyethylene,8.2,31 PSU,0.18,Riverine Inputs,Medium,Ecological,Moderate,6,Seno et al.
Dipolog Fish Port,8.58,123.34,0.06–2.5,Fiber,1.01,Rayon,8.1,33 PSU,0.16,Fishing Gear,High,Ecological,Moderate,6.7,Seno et al.
Pagadian Fish Port,7.83,123.44,0.13–3.0,Fragment,1.15,Polyester,8,34 PSU,0.19,Industrial Fishing,High,Ecological,High,7.8,Seno et al.
Buenavista Coast,8.97,125.41,0.10–2.8,Fiber,0.92,Polyamide Nylon,8.2,31 PSU,0.2,River Runoff,Medium,Ecological,Moderate,6.5,Seno et al.
Zamboanga del Norte (Marine Waters),8.58,123.34,0.06–3.33,"Fiber, Fragment",1,"Rayon, Nylon",8.1,33 PSU,0.26,Coastal Fishing,High,Ecological,High,7.5,Seno et al.
Agusan del Norte (Butuan Bay Estuary),8.97,125.41,0.13–3.17,Fiber,1.43,Polypropylene,8.2,31 PSU,0.21,Riverine Discharge,Medium,Ecological,Moderate,6.4,Seno et al.
"Partido District, Camarines Sur",13.6,123.5,0.005–0.025,Filament,0.90–1.05,"PE, PP (inferred)",7,35 PSU,369.07/kg,"Moderate (salt packaging, fishing gear)",Medium,Food Safety,High,8.5,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.025,Fiber,0.90–1.05,"PE, PET (inferred)",7,35 PSU,322.38/kg,Moderate,Medium,Food Safety,High,8.2,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.025,Fragment,1.0–1.2,PS (inferred),7,35 PSU,202.32/kg,Moderate,Medium,Food Safety,High,7.8,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.020,Film,0.95–1.0,PE (inferred),7,35 PSU,195.65/kg,Moderate,Medium,Food Safety,Moderate,7,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.015,Fiber,0.90–1.05,PET (inferred),7,35 PSU,111.17/kg,Low,Medium,Food Safety,Moderate,6.5,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.015,Filament,0.90–1.05,PE (inferred),7,35 PSU,106.72/kg,Low,Medium,Food Safety,Moderate,6.2,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.020,Fragment,1.0–1.2,"PS, PVC (inferred)",7,35 PSU,71.15/kg,Low,Medium,Food Safety,Low,5.5,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.015,Filament,0.90–1.05,PE (inferred),7,35 PSU,62.25/kg,Low,Medium,Food Safety,Low,5,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.015,Fiber,0.90–1.05,PET (inferred),7,35 PSU,62.25/kg,Low,Medium,Food Safety,Low,5,Rongap & Plantado
"Partido District, Camarines Sur",13.6,123.5,0.005–0.010,Fragment,1.0–1.2,PS (inferred),7,35 PSU,15.56/kg,Low,Medium,Food Safety,Low,4.5,Rongap & Plantado
Cagayan de Oro River (Upstream - Barangay Bayanga),8.42,124.61,0.05–0.30,Fiber,0.90–1.38,"PE, PP",7.3,0.1 PSU,15.2,Low (agriculture),Low,Freshwater,Low,4,Ladera et al.
Cagayan de Oro River (Midstream - Barangay Balulang),8.47,124.64,0.03–0.25,Fragment,0.95–1.20,"PE, PS",7.2,0.2 PSU,22.8,Moderate (urban runoff),Medium,Freshwater,Moderate,6,Ladera et al.
Cagayan de Oro River (Downstream - Macabalan),8.48,124.65,0.02–0.20,Film,0.92–0.98,PE,7.1,0.3 PSU,31.5,High (industrial port),High,Freshwater,High,8.2,Ladera et al.
Cagayan de Oro River Estuary,8.49,124.66,0.02–0.15,Fiber,0.90–1.38,"PP, PET",7,3.5 PSU,38.7,"High (shipping, urban waste)",High,Ecological,High,8.8,Ladera et al.
Macajalar Bay (near river mouth),8.5,124.67,0.01–0.20,Fragment,0.95–1.20,"PS, PE",7.8,30 PSU,24.3,"Moderate (fishing, port)",High,Ecological,Moderate,6.8,Ladera et al.
Cagayan de Oro River (Barangay Carmen),8.47,124.64,0.03–0.25,Fiber,0.90–1.38,"PP, PET",7.2,0.2 PSU,26.9,Moderate (domestic waste),High,Freshwater,Moderate,6.4,Ladera et al.
Barangay Nazareth Riverbank,8.48,124.65,0.04–0.30,Fragment,0.95–1.20,"PS, PE",7.3,0.1 PSU,19.7,Moderate (residential area),Medium,Freshwater,Moderate,5.8,Ladera et al.
Barangay Macasandig,8.46,124.64,0.03–0.20,Film,0.92–0.98,PE,7.2,0.2 PSU,27.5,Moderate (urban runoff),Medium,Freshwater,Moderate,6.3,Ladera et al.
Barangay Lapasan (near commercial zone),8.48,124.65,0.02–0.18,Fiber,0.90–1.38,PP,7.1,0.3 PSU,34.2,"High (industrial, shipping)",High,Freshwater,High,7.9,Ladera et al.
Cagayan de Oro River Mouth (Brgy. Puntod),8.5,124.67,0.02–0.15,Fragment,0.95–1.20,"PE, PS",7,4.0 PSU,40.5,High (port operations),High,Ecological,High,9,Ladera et al.
"Taguig City, Metro Manila",14.5586,121.0602,1.0–5.0,Fiber,272 MP/m²,Polypropylene (PP),7.2 (urban dust neutral),N/A,N/A,"High vehicular traffic, construction",Very High,Airborne Ecological,High,0.9,Romarate & Bacosa
"Quezon City, Metro Manila",14.6511,121.052,0.25–5.0,Film,75 MP/m²,"Polypropylene (PP), PVC",7.3,N/A,N/A,Industrial and residential mix,Very High,Airborne Ecological,Moderate,0.65,Romarate & Bacosa
"Pasay City, Metro Manila",14.5122,121.0032,0.25–5.0,Fragment,88 MP/m²,"PP, PMMA",7.1,N/A,N/A,Commercial and traffic hub,Very High,Airborne Ecological,Moderate,0.7,Romarate & Bacosa
"Manila City, Metro Manila",14.6262,120.9896,0.25–5.0,Granule,123 MP/m²,"Polypropylene, Polyethylene",7,N/A,N/A,Port and vehicular emissions,Very High,Airborne Ecological,High,0.8,Romarate & Bacosa
"SRP (South Road Properties), Cebu City",10.282,123.8834,0.25–5.0,Fiber,103 MP/m²,"PP, Polyacrylamide",7.4,N/A,N/A,Heavy traffic near coast,High,Airborne Ecological,Moderate,0.75,Romarate & Bacosa
"Mandaue City, Metro Cebu",10.3379,123.9435,0.25–5.0,Granule,91 MP/m²,"PP, PMMA",7.5,N/A,N/A,Industrial park area,High,Airborne Ecological,Moderate,0.7,Romarate & Bacosa
"Fronting Port Area, Cebu City",10.308,123.918,0.25–5.0,Fiber,93 MP/m²,"PP, PVC",7.4,N/A,N/A,Port shipping activity,High,Airborne Ecological,Moderate,0.72,Romarate & Bacosa
"Apas, Cebu City",10.3398,123.8965,1.0–5.0,Fiber,140 MP/m²,"PP (dominant), PMMA",7.3,N/A,N/A,"Urban traffic, residential",High,Airborne Ecological,High,0.85,Romarate & Bacosa
Metro Manila (average),14.59,121.02,0.25–5.0,Fiber & Granule,140 MP/m²,"PP (78%), PVC (18%)",7.2,N/A,N/A,Dense mixed-use urban area,Very High,Airborne Ecological,High,0.8,Romarate & Bacosa
Metro Cebu (average),10.31,123.91,0.25–5.0,Fiber,107 MP/m²,"PP (78%), PMMA (18%)",7.4,N/A,N/A,Industrial & port zones,High,Airborne Ecological,Moderate,0.75,Romarate & Bacosa
Rural Sector (Brgy. Granada & Vista Alegre),10.65,122.98,0.3–5.0,"Fibers, Fragments",~1.02 g/cm³,"Polypropylene, Polyethylene",7.1,0.1 ppt,"1.111 (wet), 1.778 (dry) ×10³","Agriculture, Minimal Industry","73,947",Ecological,Moderate,60,Lupit River Study Team (2024)
Residential Sector (Brgy. Villamonte),10.66,122.985,0.3–5.0,"Fibers, Films",~1.03 g/cm³,Polyethylene,7.2,0.1 ppt,"1.778 (wet), 2.444 (dry) ×10³","Domestic Waste, Retail","34,036",Ecological,High,85,Lupit River Study Team (2024)
Informal Settlement Sector (Brgy. 40 & Vista Alegre),10.665,122.988,0.3–5.0,"Fibers, Film, Pellets",~1.00 g/cm³,Mixed polymers,7,0.1 ppt,"1.333 (wet), 1.778 (dry) ×10³",Unregulated Waste Disposal,"46,039",Ecological,High,80,Lupit River Study Team (2024)
Commercial Sector (Brgy. Singcang),10.67,122.992,0.3–5.0,"Fibers, Fragments",~1.05 g/cm³,Polypropylene,7.1,0.2 ppt,"1.556 (wet), 1.778 (dry) ×10³","Commercial, Near Estuary","33,372",Ecological,High,88,Lupit River Study Team (2024)
Urban (Residential + Commercial Combined),10.665,122.988,0.3–5.0,"Fibers, Films",~1.03 g/cm³,Polyethylene,7.2,0.15 ppt,2.111 ×10³,Domestic + Industrial,"~33,000",Ecological,Very High,90,Lupit River Study Team (2024)
Bacolod City (Regional Summary),10.67,122.95,0.3–5.0,"Fibers, Film, Pellets",~1.02 g/cm³,Mixed polymers,7.1,0.1 ppt,1.780 ×10³ (mean),Mixed Urban-Industrial,600/km²,Ecological + Human Health,High,85,Lupit River Study Team (2024)
"Butuan Bay, Northern Mindanao",8.947,125.542,0.12–21.30,Fiber,0.91–0.96 g/cm³,"Polypropylene (PP), PET",8.1,33 PSU,3.7 MPs/ind. (fish),Moderate fishing & coastal,Medium,Ecological,High,0.85,Palermo et al.
Dipolog Bay,8.566,123.337,0.5–2.5,Fiber,0.92 g/cm³,"PP, PE",8,32,3.2 MPs/ind.,"Coastal fishery, small port",Medium,Ecological,Moderate,0.75,Palermo et al.
Gingoog Bay,8.817,125.1,0.25–9.5,"Fiber, Fragment",0.91–0.95,PP,8,33,3.9 MPs/ind.,Urban fishing hub,High,Ecological,High,0.87,Palermo et al.
Iligan Bay,8.23,124.25,0.6–8.5,"Fiber, Film",0.90–1.05,PET,8.2,34,4.1 MPs/ind.,Industrial coastal zone,High,Ecological,High,0.9,Palermo et al.
Macajalar Bay,8.55,124.65,<0.5–2.5,Fiber,0.92,"PP, PE",8.1,33,4.3 MPs/ind.,"Port, manufacturing",Very High,Ecological,Severe,0.95,Palermo et al.
Patawag Bay,8.117,122.7,1–3,"Fiber, Fragment",0.9,PP,8.1,31,2.1 MPs/ind.,Low coastal activity,Low,Ecological,Low,0.45,Palermo et al.
Sindangan Bay,8.237,122.985,0.5–2,Fiber,0.91,"PP, PE",8,32,3.4 MPs/ind.,"Fishing, market waste",Medium,Ecological,Moderate,0.7,Palermo et al.
"Lupit River (Rural Zone, Bacolod City)",10.63,122.96,0.3–5.0,"Fiber, Film",0.92–1.04,"PE, PP",7.4,0.5 ppt,150 MPs/L,Agricultural runoff,Low,Ecological,Moderate,0.6,Granada et al.
Lupit River (Residential Zone),10.65,122.97,0.3–5.0,"Fiber, Fragment",0.91–1.02,PP,7.1,0.4 ppt,380 MPs/L,Domestic sewage,Medium,Ecological,High,0.82,Granada et al.
Lupit River (Commercial Zone),10.66,122.96,0.3–5.0,"Fiber, Film, Fragment",0.90–1.05,"PE, PP, PET",7,0.6 ppt,1780 MPs/m³ (~1.78 MPs/L),Market & industrial,Very High,Ecological & Human Health,Severe,0.96,Granada et al.
Sorsogon Bay (Surface),12.829,123.786,0.1–5.0,"Fiber, Fragment",0.90–1.05 g/cm³,"PS, PE, PET",8.1,33 PSU,2.27,Fishing & transport,Low,Ecological,Low,0.4,Malto & Mendoza
Sorsogon Bay (Water Column),12.829,123.786,0.1–5.0,"Fiber, Fragment",0.91–1.05,"Thermo Polyurethane, PS",8.1,33,2.18,Fishing & transport,Low,Ecological,Low,0.38,Malto & Mendoza
Sorsogon Bay (Surface),12.87,123.828,0.1–5.0,"Fiber, Fragment",0.92,"PET, PS",8,33,3.02,"Boat traffic, aquaculture",Medium,Ecological,Moderate,0.6,Malto & Mendoza
Sorsogon Bay (Water Column),12.87,123.828,0.1–5.0,"Fiber, Fragment",0.92,Thermo Polyurethane,8,33,3.57,"Boat traffic, aquaculture",Medium,Ecological,Moderate,0.63,Malto & Mendoza
Sorsogon Bay Mouth (Surface),12.941,123.887,0.1–5.0,Fiber,0.91,"PE, PET",7.9,32,3.02,"River inflow, domestic waste",High,Ecological,High,0.78,Malto & Mendoza
Sorsogon Bay Mouth (Water Column),12.941,123.887,0.1–5.0,"Fiber, Fragment",0.91,Thermo Polyurethane,7.9,32,5.04,"River inflow, domestic waste",High,Ecological,High,0.8,Malto & Mendoza
Sorsogon Bay (Urban),12.953,123.983,0.1–5.0,"Fiber, Film",0.91–1.02,"PET, PE",8,34,2.98,"Urban runoff, coastal market",Very High,Ecological,High,0.85,Malto & Mendoza
Sorsogon Bay Estuary (Surface),12.869,123.9,0.1–5.0,"Fiber, Fragment",0.92,"PE, PS",8,32,11.66,"River outlet, aquaculture",High,Ecological,Severe,0.95,Malto & Mendoza
Central Bay (Surface),12.921,123.939,0.1–5.0,"Fiber, Film",0.90–1.00,"PET, PS",8.1,33,10.36,Mixed fishing & boating,Medium,Ecological,High,0.88,Malto & Mendoza
Central Sorsogon Bay ,12.921,123.939,0.1–5.0,"Fiber, Fragment",0.91,Thermo Polyurethane,8.1,33,14.55,Mixed fishing & boating,Medium,Ecological,Severe,0.97,Malto & Mendoza
Bula (U1),6.0993,125.2005,25–1000,"Fragment, Film",0.90–0.95 g/cm³,"PE, PP",8.1,33 PSU,560,Urban market & fishing,High,Ecological,Dirty,0.75,Acot et al.
Bula (U2),6.0996,125.1979,25–1000,Fragment,0.90–0.95,PE,8.1,33,650,Urban settlement,High,Ecological,Dirty,0.78,Acot et al.
Bula (U3),6.1034,125.1918,25–1000,"Film, Fragment",0.90–1.00,"PE, PS",8.1,33,1060,"Dense urban, residential",Very High,Ecological,Extremely Dirty,0.95,Acot et al.
Dadiangas South (U4),6.1061,125.1783,25–1000,Film,0.92,"PE, PET",8.1,33,880,"Port area, fishing",Very High,Ecological,Dirty,0.85,Acot et al.
Dadiangas South (U5),6.1065,125.1746,25–1000,"Film, Fragment",0.92,PE,8.1,33,820,Port & waste discharge,High,Ecological,Dirty,0.83,Acot et al.
"Banualan, Tambler (U6)",6.0396,125.1435,25–1000,Fragment,0.91,PP,8.1,33,300,Fishing village,Medium,Ecological,Moderately Clean,0.6,Acot et al.
"Banualan, Tambler (U7)",6.0378,125.143,25–1000,"Fragment, Film",0.91,PE,8.1,33,360,Coastal community,Medium,Ecological,Moderately Clean,0.63,Acot et al.
"Tinoto, Maasim (R1)",5.904,125.082,25–1000,"Fragment, Film",0.91,PE,8.1,32,460,"Tourism, beach activity",Low,Ecological,Moderately Clean,0.55,Acot et al.
"Tinoto, Maasim (R2)",5.9021,125.0801,25–1000,Fragment,0.91,"PE, PS",8.1,32,420,Tourism,Low,Ecological,Moderately Clean,0.52,Acot et al.
"Tinoto, Maasim (R3)",5.9006,125.0792,25–1000,Film,0.91,PET,8.1,32,340,Low human activity,Low,Ecological,Moderately Clean,0.45,Acot et al.
"Kamanga, Maasim (R4)",5.8718,125.0849,25–1000,Fragment,0.91,PE,8.1,32,230,Fishing,Low,Ecological,Clean,0.3,Acot et al.
"Kamanga, Maasim (R5)",5.868,125.0839,25–1000,"Fragment, Film",0.91,PE,8.1,32,180,Fishing,Low,Ecological,Clean,0.25,Acot et al.
"Kamanga, Maasim (R6)",5.8637,125.0794,25–1000,Fragment,0.91,PE,8.1,32,190,Fishing,Low,Ecological,Clean,0.27,Acot et al.
"Kamanga, Maasim (R7)",5.8616,125.0771,25–1000,"Fragment, Film",0.91,PE,8.1,32,210,Fishing,Low,Ecological,Clean,0.28,Acot et al.
Cabadbaran Transect 1,9.072,125.541,0.1–5.0,Fiber,0.91–0.95 g/cm³,"PP, PET, HDPE",7.9,32 PSU,60 MPs/kg ? 0.06 MPs/L,Fishing & domestic waste,Medium,Ecological,Moderate,0.65,Navarro et al.
Cabadbaran Transect 2,9.072,125.541,0.1–5.0,Fragment,0.92,"LDPE, EVA",7.9,32,33 MPs/kg ? 0.033 MPs/L,Urban runoff,Medium,Ecological,Moderate,0.55,Navarro et al.
Cabadbaran Transect 3,9.073,125.54,0.1–5.0,"Film, Fiber",0.91–1.00,"PP, PET",7.9,32,27 MPs/kg ? 0.027 MPs/L,Fishing & domestic,Low,Ecological,Low,0.4,Navarro et al.
Buenavista Transect 1,8.971,125.444,0.1–5.0,"Fiber, Fragment",0.91,"PP, PET, LDPE",8,32,67 MPs/kg ? 0.067 MPs/L,Coastal aquaculture,Medium,Ecological,High,0.75,Navarro et al.
Buenavista Transect 2,8.97,125.445,0.1–5.0,"Fiber, Film",0.92,"EVA, PP",8,32,60 MPs/kg ? 0.060 MPs/L,Fishing village,Medium,Ecological,Moderate,0.68,Navarro et al.
Buenavista Transect 3,8.971,125.444,0.1–5.0,Fiber,0.91,PP,8,32,20 MPs/kg ? 0.020 MPs/L,Rural mangrove,Low,Ecological,Low,0.35,Navarro et al.
Nasipit Transect 1,8.972,125.336,0.1–5.0,"Fiber, Fragment",0.91,"PP, PET",8,33,67 MPs/kg ? 0.067 MPs/L,"Port area, shipyard",High,Ecological,High,0.85,Navarro et al.
Nasipit Transect 2,8.972,125.336,0.1–5.0,"Fiber, Film",0.91–1.00,"PP, EVA",8,33,60 MPs/kg ? 0.060 MPs/L,Coastal settlement,High,Ecological,High,0.8,Navarro et al.
Nasipit Transect 3,8.974,125.335,0.1–5.0,"Fiber, Fragment",0.91,"PP, PA",8,33,87 MPs/kg ? 0.087 MPs/L,Urban & fishing mix,Very High,Ecological,Severe,0.95,Navarro et al.
"Barangay Poblacion, Anilao, Iloilo",10.888,122.729,0.33,Fragment,0.92,Polyethylene (PE),7.8,30,85,"Moderate fishing, domestic waste",High,Ecological,High,0.82,[Study Authors]
"Barangay San Carlos, Anilao, Iloilo",10.895,122.735,0.42,Fiber,1.14,Polypropylene (PP),7.6,31,72,"Domestic wastewater, tourism",Medium,Ecological,Moderate,0.68,[Study Authors]
"Barangay Badiang, Anilao, Iloilo",10.882,122.718,0.28,Film,0.94,Polyethylene terephthalate (PET),8,29,63,Coastal fishing,Low,Ecological,Moderate,0.61,[Study Authors]
"Barangay Santa Rita, Anilao, Iloilo",10.875,122.723,0.36,Fragment,0.9,Low-density polyethylene (LDPE),7.7,30,97,Domestic runoff,Medium,Ecological,High,0.79,[Study Authors]
"Barangay Balabago, Anilao, Iloilo",10.879,122.727,0.39,Fiber,1.03,Polypropylene (PP),7.9,32,58,Fishing and household waste,Medium,Ecological,Moderate,0.64,[Study Authors]
"Barangay San Juan, Anilao, Iloilo",10.87,122.732,0.31,Film,1.05,Polystyrene (PS),8.1,28,47,"Minimal industry, tourism",Low,Ecological,Low,0.47,[Study Authors]
"Barangay San Roque, Anilao, Iloilo",10.873,122.721,0.25,Fragment,0.91,Polyethylene (PE),7.5,31,102,Domestic and fishing,High,Ecological,High,0.86,[Study Authors]
"Barangay Bagacay, Anilao, Iloilo",10.877,122.716,0.29,Fiber,1.1,Polyamide (Nylon),7.8,29,88,"Boat repair, waste discharge",Medium,Ecological,High,0.77,[Study Authors]
"Barangay Pantalan, Anilao, Iloilo",10.89,122.719,0.41,Fragment,0.92,Polyethylene (PE),7.9,30,93,Port activity,High,Ecological,High,0.83,[Study Authors]
"Barangay San Antonio, Anilao, Iloilo",10.881,122.714,0.27,Film,0.96,Polyethylene terephthalate (PET),7.6,31,56,Residential runoff,Medium,Ecological,Moderate,0.59,[Study Authors]
"Britania, San Agustin, Surigao del Sur",8.6989,126.2051,0.33–5,Fiber,~1.38,Polyamide/Polyester,8.1,34 ppt,22 / 180 ? 0.12,"Tourism, Fishing","22,779 / municipal",Ecological,High,0.85,Gomez et al.
"Britania, San Agustin, Surigao del Sur",8.6989,126.2051,0.33–5,Microbead,~1.05,Polyethylene,8.1,34 ppt,5 / 180 ? 0.03,"Tourism, Fishing","22,779 / municipal",Ecological,Moderate,0.65,Gomez et al.
"Britania, San Agustin, Surigao del Sur",8.6989,126.2051,0.33–5,Rubber,~1.10,Synthetic rubber,8.1,34 ppt,1 / 180 ? 0.005,"Tourism, Fishing","22,779 / municipal",Ecological,Low,0.4,Gomez et al.
L. nebulosus (Spangled Emperor),8.6989,126.2051,0.33–5,"Fiber, Microbead",~1.38,Polyamide/Polyester,8.1,34 ppt,14 MPs total,Tourism,"22,779",Biological,High,0.88,Gomez et al.
N. japonicus (Fork-tailed Threadfin Bream),8.6989,126.2051,0.33–5,"Fiber, Microbead",~1.38,Polyamide/Polyester,8.1,34 ppt,6 MPs total,Tourism,"22,779",Biological,Moderate,0.72,Gomez et al.
L. gymnocranius (Emperor),8.6989,126.2051,0.33–5,Fiber,~1.38,Polyamide/Polyester,8.1,34 ppt,5 MPs total,Fishing,"22,779",Biological,Moderate,0.68,Gomez et al.
S. vermiculatus (Spinefoot),8.6989,126.2051,0.33–5,"Fiber, Rubber",~1.25,Polyester/Rubber,8.1,34 ppt,2 MPs total,Tourism,"22,779",Biological,Moderate,0.6,Gomez et al.
E. melanostigma (One-blotch Grouper),8.6989,126.2051,0.33–5,Microbead,~1.05,Polyethylene,8.1,34 ppt,1 MP total,Fishing,"22,779",Biological,Low,0.45,Gomez et al.
L. vitta (Brown-stripe Snapper),8.6989,126.2051,None,None,—,—,8.1,34 ppt,0,Fishing,"22,779",Biological,Very Low,0.1,Gomez et al.
Aggregated Fish Community (mean),8.6989,126.2051,0.33–5,Mixed,~1.26,Mixed Polymers,8.1,34 ppt,11.67% occurrence,"Tourism, Fishing","22,779",Ecological,High,0.8,Gomez et al.
"Manila Bay, Philippines",14.55,120.95,0.30–5.00,Fiber,1.35,"Polyester, Polypropylene",8,32 ppt,4.8,"Shipping, Wastewater Discharge",High,Ecological,High,0.88,[Study Author(s)]
"Pasig River, Manila",14.59,121.04,0.20–4.00,Fragment,0.92,Polyethylene,7.5,0.5 ppt,15.4,"Industrial, Domestic Waste",Very High,Ecological,High,0.9,[Study Author(s)]
Lingayen Gulf,16.05,120.25,0.33–3.00,"Fiber, Film",1.4,"Polyamide, Polyethylene",8.1,33 ppt,3.2,"Fishing, Aquaculture",Medium,Ecological,Moderate,0.65,[Study Author(s)]
